#"%Röttgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014",,,,,
#% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW),,,,,
#"% s.d., standard deviation, nan, not determined",,,,,
#% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details,,,,,
#wavelength (nm),wavenumber (1/cm),PsiS (1/m*L/g) NaCl,s.d. (1/m*L/g) NaCl,PsiS (1/m*L/g) ASW,s.d. (1/m*L/g) ASW
400,25000,7.36E-07,4.06E-06,4.32E-05,9.71E-06
402,24875.62,1.49E-06,2.65E-06,4.22E-05,9.48E-06
404,24752.48,5.68E-07,2.39E-06,3.88E-05,8.48E-06
406,24630.54,2.42E-07,1.94E-06,3.63E-05,7.82E-06
408,24509.8,-3.73E-07,4.45E-06,3.70E-05,8.64E-06
410,24390.24,-7.81E-07,4.19E-06,3.58E-05,8.00E-06
412,24271.84,-3.14E-07,4.51E-06,3.49E-05,8.64E-06
414,24154.59,-1.18E-06,4.03E-06,3.38E-05,9.34E-06
416,24038.46,1.31E-06,3.62E-06,3.35E-05,7.94E-06
418,23923.44,-2.04E-07,3.88E-06,3.27E-05,8.08E-06
420,23809.52,-3.12E-07,2.46E-06,3.15E-05,8.48E-06
422,23696.68,-9.80E-07,4.59E-06,2.98E-05,8.58E-06
424,23584.91,-2.08E-06,3.42E-06,2.88E-05,8.75E-06
426,23474.18,-2.46E-06,2.58E-06,2.73E-05,7.83E-06
428,23364.49,-2.68E-06,2.40E-06,2.64E-05,6.07E-06
430,23255.81,-2.92E-06,2.46E-06,2.63E-05,7.18E-06
432,23148.15,-2.17E-06,2.10E-06,2.49E-05,6.97E-06
434,23041.47,-1.87E-06,1.81E-06,2.42E-05,6.20E-06
436,22935.78,-2.10E-06,2.21E-06,2.50E-05,6.22E-06
438,22831.05,-2.39E-06,3.09E-06,2.26E-05,6.09E-06
440,22727.27,-1.56E-06,2.44E-06,2.22E-05,5.90E-06
442,22624.43,-2.53E-06,2.07E-06,2.12E-05,6.01E-06
444,22522.52,-2.11E-06,2.27E-06,2.00E-05,6.01E-06
446,22421.52,-1.13E-06,1.76E-06,1.86E-05,5.78E-06
448,22321.43,-1.20E-06,2.03E-06,1.85E-05,5.83E-06
450,22222.22,-3.22E-07,2.58E-06,1.73E-05,5.88E-06
452,22123.89,-6.42E-07,1.17E-06,1.70E-05,5.50E-06
454,22026.43,3.63E-07,1.83E-06,1.67E-05,5.38E-06
456,21929.82,1.15E-07,2.48E-06,1.62E-05,5.27E-06
458,21834.06,-6.57E-09,2.22E-06,1.46E-05,5.67E-06
460,21739.13,-3.79E-07,1.98E-06,1.39E-05,4.77E-06
462,21645.02,6.38E-07,9.52E-07,1.42E-05,5.35E-06
464,21551.72,1.81E-07,2.59E-06,1.34E-05,4.66E-06
466,21459.23,5.65E-08,1.64E-06,1.24E-05,4.28E-06
468,21367.52,-1.76E-07,2.35E-06,1.19E-05,4.97E-06
470,21276.6,-1.03E-06,1.94E-06,1.06E-05,5.34E-06
472,21186.44,6.57E-08,2.44E-06,1.00E-05,5.27E-06
474,21097.05,-1.94E-07,1.39E-06,9.61E-06,5.21E-06
476,21008.4,3.14E-07,1.50E-06,8.76E-06,5.07E-06
478,20920.5,4.66E-07,1.16E-06,8.16E-06,4.53E-06
480,20833.33,5.19E-08,1.18E-06,7.97E-06,4.57E-06
482,20746.89,3.90E-07,1.25E-06,7.54E-06,4.42E-06
484,20661.16,-1.76E-07,8.49E-07,6.73E-06,3.93E-06
486,20576.13,-1.84E-07,1.30E-06,6.20E-06,4.40E-06
488,20491.8,-8.74E-07,1.65E-06,6.08E-06,4.47E-06
490,20408.16,-4.37E-07,1.32E-06,5.75E-06,4.15E-06
492,20325.2,-4.65E-07,1.46E-06,5.71E-06,4.02E-06
494,20242.91,-3.70E-07,1.25E-06,5.45E-06,4.23E-06
